k,random,NDS,TDS,DaTDS
1,0.029666666666666664,0.1,0.13333333333333333,0.16666666666666666
2,0.050666666666666665,0.18333333333333332,0.21666666666666667,0.21666666666666667
3,0.06316666666666665,0.22777777777777777,0.24999999999999997,0.27222222222222214
4,0.06797222222222221,0.2361111111111111,0.275,0.2888888888888888
5,0.07117222222222223,0.25611111111111107,0.2816666666666666,0.3088888888888889
6,0.08373333333333333,0.2672222222222222,0.2983333333333333,0.3144444444444444
7,0.08948253968253966,0.27198412698412694,0.30309523809523803,0.3192063492063492
8,0.09056230158730157,0.28031746031746024,0.30309523809523803,0.3358730158730159
9,0.09191838624338625,0.28402116402116395,0.31791005291005286,0.3395767195767196
10,0.09917050264550266,0.29402116402116396,0.31791005291005286,0.34624338624338624
11,0.10032706830206829,0.29402116402116396,0.31791005291005286,0.34624338624338624
12,0.10202367724867725,0.29402116402116396,0.32346560846560846,0.349021164021164
13,0.10039327339327339,0.29402116402116396,0.326029711029711,0.349021164021164
14,0.11491836681836681,0.29402116402116396,0.3284106634106634,0.349021164021164
15,0.11431264661264662,0.3006878306878306,0.3306328856328856,0.349021164021164
16,0.10752505966255965,0.30277116402116394,0.3306328856328856,0.35110449735449734
17,0.11406703536115302,0.30277116402116394,0.3306328856328856,0.35110449735449734
18,0.10848251750972338,0.3046230158730159,0.3306328856328856,0.35110449735449734
19,0.11305231572120115,0.3046230158730159,0.3323872715977979,0.3528588833194097
20,0.12365066457450358,0.3046230158730159,0.3323872715977979,0.3528588833194097
21,0.12408514678475978,0.3046230158730159,0.3323872715977979,0.3528588833194097
22,0.11542074640186095,0.3046230158730159,0.3323872715977979,0.3528588833194097
23,0.1211100776070422,0.3046230158730159,0.3323872715977979,0.3528588833194097
24,0.12516885161758967,0.3046230158730159,0.3323872715977979,0.3528588833194097
25,0.12927448976040037,0.3046230158730159,0.3323872715977979,0.3528588833194097
26,0.12639906672933765,0.3046230158730159,0.3323872715977979,0.3528588833194097
27,0.12519833454572912,0.3046230158730159,0.3323872715977979,0.3528588833194097
28,0.1242240768869327,0.3046230158730159,0.3323872715977979,0.3528588833194097
29,0.13149014999864536,0.3046230158730159,0.3323872715977979,0.3528588833194097
30,0.1379891492220507,0.3046230158730159,0.3323872715977979,0.3528588833194097
